rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A2BXQ6	33.803	2.78e-72	243	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046856	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A1US81	34.118	2.52e-72	243	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046856	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A0L6J8	34.491	5.43e-72	243	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046868	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A1WP10	32.735	1.70e-71	241	100	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046874	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A2BSA4	32.941	8.21e-71	239	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046856	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A1VSK4	32.339	1.52e-70	239	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046856	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A5CDU5	32.639	1.99e-70	238	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046874	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A1B4S2	37.330	1.98e-68	233	81	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045774	2046859	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A4SWP6	31.900	5.16e-66	226	100	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046877	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11		UniRef90_A2C409	31.628	5.21e-66	225	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2045606	2046865	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1A0K4	82.676	0.0	998	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149166	2150893	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1R508	59.322	0.0	649	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149157	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0JUT1	59.487	0.0	637	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149157	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1SLL4	58.478	0.0	618	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150884	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1UER2	57.388	0.0	578	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149163	2150896	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1T7H2	56.261	0.0	565	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149163	2150896	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0PQB8	56.076	3.31e-178	556	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149163	2150887	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0QVM0	56.627	1.95e-176	551	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149163	2150896	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0LV31	54.496	2.80e-170	533	92	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149163	2150827	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A3DJL6	40.760	1.55e-127	409	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A4VNB4	40.995	2.48e-125	403	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1SZR1	40.138	1.70e-125	403	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A4IMD1	41.451	5.15e-123	396	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150884	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A3QG64	39.688	5.29e-123	396	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1U1F0	39.864	7.35e-123	396	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150896	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A4J5Y2	40.480	5.38e-120	387	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1S4R2	38.475	1.91e-118	383	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0KPA5	39.555	7.51e-116	375	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150896	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1TTD0	40.582	5.38e-115	373	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1APU5	38.889	5.44e-115	373	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149169	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A3N3C6	39.898	2.60e-114	371	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150899	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1WKI1	37.949	4.96e-114	370	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150893	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1K976	39.378	1.32e-113	369	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1JP53	38.255	1.21e-113	369	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150896	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0L8I2	38.648	1.65e-113	369	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1VK86	39.451	1.87e-111	363	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A2SD40	38.160	2.15e-110	360	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150884	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A3CQI5	35.840	1.22e-108	356	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150875	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A4G8R0	37.543	2.09e-106	348	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1WUX1	39.182	1.54e-106	348	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150884	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A1AW17	35.324	1.52e-105	345	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150899	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0RNT1	36.752	1.19e-103	340	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150899	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0LHQ7	37.241	7.20e-101	332	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150884	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A2BVH0	35.871	3.35e-96	320	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150854	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A2BPZ0	35.596	2.42e-93	311	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150899	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PROLINE--TRNA-LIGASE-RXN	proline-tRNA ligase	6.1.1.15		UniRef90_A0Q7N3	34.542	1.14e-93	311	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2149160	2150881	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06445 rxn20616 	NA	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1A1X6	87.324	0.0	598	100	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899053	897989	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A4T9V2	55.211	1.82e-103	330	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899053	897992	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1TAB5	55.758	2.29e-98	315	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898981	897992	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A3DBX6	40.974	8.09e-88	285	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899026	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1ARE1	41.261	1.67e-82	269	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899026	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A0PZN8	39.118	8.55e-82	267	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898999	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A4J4Z4	45.223	9.10e-81	265	89	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898966	898052	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1S702	41.642	2.38e-79	259	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899023	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A4XKJ8	40.950	3.26e-78	257	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898990	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A0KKP5	40.176	1.01e-77	255	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899023	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1U2B9	39.466	1.45e-76	252	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899008	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A0L4K0	40.061	2.42e-76	252	92	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898972	898013	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		sp|P08312|SYFA_ECOLI	40.476	2.28e-76	251	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899008	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A0Q6A6	41.896	6.01e-75	248	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898960	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A4XTS5	38.253	2.41e-74	246	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899026	898052	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A4IRM4	40.176	5.92e-74	245	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898990	897998	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A4G615	41.401	1.25e-73	244	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898939	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1BJB6	39.710	1.54e-73	244	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899011	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1K4E5	40.395	6.21e-73	242	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899032	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A0M6W9	36.676	2.24e-71	237	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899026	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A4SCK0	37.202	6.84e-71	236	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898987	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1AWT1	40.059	1.59e-69	232	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898987	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A3MZX4	39.117	3.61e-69	230	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898951	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1TR35	38.710	1.06e-68	230	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898981	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1B4B8	36.950	8.82e-68	228	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898996	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A3PGQ9	38.050	1.38e-67	227	87	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898933	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1UUA8	36.578	3.42e-67	226	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898987	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A2SH03	38.643	1.74e-66	223	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899023	898049	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A0LFC6	37.870	1.47e-65	220	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	898993	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_A1WMG9	35.112	9.20e-63	213	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	899026	898001	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 1	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_O88054	43.390	2.86e-173	552	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	897969	895372	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 2	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_P17922	34.232	6.80e-124	407	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	897972	895435	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 2	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_P37984	33.107	5.13e-115	381	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	897957	895375	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 2	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_P67040	32.229	4.67e-111	370	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	897972	895375	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 2	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_P07395	32.917	1.03e-110	369	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	897957	895375	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 2	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		sp|P07395|SYFB_ECOLI	32.917	1.03e-110	369	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	897957	895375	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 2	0	1
PHENYLALANINE--TRNA-LIGASE-RXN	phenylalanine-tRNA ligase	6.1.1.20		UniRef90_P57859	32.339	7.67e-105	352	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	897957	895375	|TRNA-CHARGING-PWY|	good_blast	threshold	rxn06444 rxn20537 rxn28061 rxn38255 	Subunit 2	0	1
